pef_max,temperature,temperature_min,temperature_max,pressure,humidity,wind_speed,wind_deg,aqi,hr
0.6894409937888198,20.95,19.05,22.1,1022.0,83.0,2.15,201.0,5.0,94.0
0.6086956521739131,16.64,15.44,17.99,1016.0,83.0,4.83,124.0,4.0,100.0
0.556935817805383,17.73,16.63,19.1,1007.0,82.0,3.3,160.0,4.0,89.0
0.5652173913043478,17.65,17.02,18.39,1008.0,91.0,4.59,196.0,2.0,82.0
0.6811594202898551,19.84,18.85,20.44,1014.0,90.0,5.24,268.0,1.0,93.0
0.6045548654244306,14.58,12.74,15.65,1018.0,82.0,3.78,310.0,1.0,115.0
0.6708074534161491,14.58,12.74,15.65,1018.0,82.0,3.78,310.0,1.0,97.0
0.6418219461697723,12.46,10.52,13.98,1020.0,87.0,3.22,59.0,2.0,96.0
0.6231884057971014,12.46,10.52,13.98,1020.0,87.0,3.22,59.0,2.0,110.0
0.5072463768115942,16.25,15.06,17.1,1014.0,92.0,5.68,94.0,1.0,86.0
0.650103519668737,16.25,15.06,17.1,1014.0,92.0,5.68,94.0,1.0,88.0
0.5507246376811594,15.47,13.95,16.05,1013.0,92.0,7.43,343.0,1.0,109.0
0.6708074534161491,15.47,13.95,16.05,1013.0,92.0,7.43,343.0,1.0,99.0
0.6149068322981367,12.67,11.63,13.54,1017.0,91.0,3.35,245.0,3.0,96.0
0.6314699792960663,12.67,11.63,13.54,1017.0,91.0,3.35,245.0,3.0,117.0
0.6086956521739131,13.31,11.55,14.65,1014.0,91.0,2.94,222.0,2.0,112.0
0.6853002070393375,13.31,11.55,14.65,1014.0,91.0,2.94,222.0,2.0,110.0
0.598343685300207,12.3,10.44,14.1,1015.0,81.0,3.2,140.0,2.0,103.0
0.5590062111801242,12.3,10.44,14.1,1015.0,81.0,3.2,140.0,2.0,107.0
0.6149068322981367,16.06,15.44,16.88,1013.0,92.0,4.47,131.0,2.0,90.0
0.6935817805383023,16.06,15.44,16.88,1013.0,92.0,4.47,131.0,2.0,86.0
0.5942028985507246,17.12,16.0700000000001,18.05,1023.0,85.0,3.26,88.0,2.0,85.0
0.6894409937888198,17.12,16.0700000000001,18.05,1023.0,85.0,3.26,88.0,2.0,115.0
0.5693581780538303,12.05,10.02,12.05,1029.0,97.0,3.88,253.0,2.0,90.0
0.7432712215320911,12.05,10.02,12.05,1029.0,97.0,3.88,253.0,2.0,109.0
0.650103519668737,10.3,9.02000000000004,11.3200000000001,1028.0,87.0,3.81,225.0,2.0,104.0
0.6708074534161491,10.3,9.02000000000004,11.3200000000001,1028.0,87.0,3.81,225.0,2.0,94.0
0.6977225672877847,17.18,16.25,18.02,1017.0,82.0,8.95,267.0,1.0,101.0
0.7184265010351967,17.18,16.25,18.02,1017.0,82.0,8.95,267.0,1.0,84.0
0.6128364389233955,11.52,10.02,12.31,1015.0,96.0,4.4,239.0,1.0,97.0
0.6418219461697723,11.52,10.02,12.31,1015.0,96.0,4.4,239.0,1.0,83.0
0.6314699792960663,17.17,16.03,17.66,1014.0,95.0,1.88,263.0,1.0,104.0
0.722567287784679,17.17,16.03,17.66,1014.0,95.0,1.88,263.0,1.0,91.0
0.6666666666666666,14.89,13.81,16.05,1011.0,94.0,4.01,157.0,1.0,77.0
0.722567287784679,14.89,13.81,16.05,1011.0,94.0,4.01,157.0,1.0,114.0
0.7494824016563147,17.1,16.48,17.9,1005.0,87.0,6.69,170.0,1.0,104.0
0.7329192546583851,17.1,16.48,17.9,1005.0,87.0,6.69,170.0,1.0,82.0
0.7287784679089027,10.99,10.52,11.63,1018.0,81.0,6.07,194.0,1.0,111.0
0.7598343685300207,10.99,10.52,11.63,1018.0,81.0,6.07,194.0,1.0,103.0
0.6356107660455487,9.12,7.84000000000003,10.48,1012.0,87.0,8.62,273.0,1.0,110.0
0.6542443064182195,9.12,7.84000000000003,10.48,1012.0,87.0,8.62,273.0,1.0,92.0
0.650103519668737,14.14,13.02,14.88,1008.0,71.0,8.21,205.0,1.0,108.0
0.7122153209109731,14.14,13.02,14.88,1008.0,71.0,8.21,205.0,1.0,91.0
0.6356107660455487,12.93,11.17,14.36,997.0,83.0,7.13,219.0,1.0,83.0
0.6666666666666666,12.93,11.17,14.36,997.0,83.0,7.13,219.0,1.0,103.0
0.6356107660455487,10.08,8.99000000000001,11.3200000000001,1010.0,88.0,14.08,304.0,1.0,102.0
0.6418219461697723,10.08,8.99000000000001,11.3200000000001,1010.0,88.0,14.08,304.0,1.0,85.0
0.6418219461697723,11.78,10.99,12.99,1024.0,93.0,5.03,188.0,1.0,83.0
0.6356107660455487,11.78,10.99,12.99,1024.0,93.0,5.03,188.0,1.0,84.0
0.6376811594202898,14.8,13.21,15.65,1029.0,95.0,3.54,188.0,2.0,97.0
0.650103519668737,14.8,13.21,15.65,1029.0,95.0,3.54,188.0,2.0,99.0
0.722567287784679,9.45000000000005,6.02000000000004,13.21,1029.0,100.0,1.81,144.0,4.0,107.0
0.7329192546583851,9.45000000000005,6.02000000000004,13.21,1029.0,100.0,1.81,144.0,4.0,84.0
0.6542443064182195,10.7,7.74000000000001,12.99,1027.0,93.0,3.02,290.0,3.0,101.0
0.6935817805383023,10.7,7.74000000000001,12.99,1027.0,93.0,3.02,290.0,3.0,84.0
0.6935817805383023,8.84000000000003,6.02000000000004,10.77,1029.0,80.0,6.44,332.0,1.0,99.0
0.6708074534161491,8.84000000000003,6.02000000000004,10.77,1029.0,80.0,6.44,332.0,1.0,100.0
0.6542443064182195,10.25,8.29000000000002,12.19,1023.0,93.0,7.91,319.0,1.0,88.0
